model,top_k,class,tp,fp,fn,tn,accuracy,precision,recall,fpr,fnr
yolov8s,1,computer,149,1,51,91,0.821917808219178,0.9933333333333333,0.745,0.010869565217391304,0.255
yolov8s,1,book,12,3,7,270,0.9657534246575342,0.8,0.631578947368421,0.01098901098901099,0.3684210526315789
rtmdet-tiny,1,computer,178,2,22,90,0.9178082191780822,0.9888888888888889,0.89,0.021739130434782608,0.11
rtmdet-tiny,1,book,12,1,7,272,0.9726027397260274,0.9230769230769231,0.631578947368421,0.003663003663003663,0.3684210526315789
rtmdet-tiny,2,computer,195,16,5,76,0.928082191780822,0.9241706161137441,0.975,0.17391304347826086,0.025
rtmdet-tiny,2,book,18,55,1,218,0.8082191780821918,0.2465753424657534,0.9473684210526315,0.20146520146520147,0.05263157894736842
nanodet-plus-m-320,1,computer,181,3,19,89,0.9246575342465754,0.9836956521739131,0.905,0.03260869565217391,0.095
nanodet-plus-m-320,1,book,9,1,10,272,0.9623287671232876,0.9,0.47368421052631576,0.003663003663003663,0.5263157894736842
picodet-s-320,1,computer,188,2,12,90,0.952054794520548,0.9894736842105263,0.94,0.021739130434782608,0.06
picodet-s-320,1,book,9,2,10,271,0.958904109589041,0.8181818181818182,0.47368421052631576,0.007326007326007326,0.5263157894736842
yolox-nano,1,computer,170,2,30,90,0.8904109589041096,0.9883720930232558,0.85,0.021739130434782608,0.15
yolox-nano,1,book,6,2,13,271,0.9486301369863014,0.75,0.3157894736842105,0.007326007326007326,0.6842105263157895
yolox-tiny,1,computer,179,1,21,91,0.9246575342465754,0.9944444444444445,0.895,0.010869565217391304,0.105
yolox-tiny,1,book,6,0,13,273,0.9554794520547946,1.0,0.3157894736842105,0.0,0.6842105263157895
