model,config,top_k,images,candidate_hit_rate,mean_candidates,computer_recall,computer_precision,computer_fpr,book_recall,book_precision,book_fpr,other_recall,other_precision,other_fpr,latency_mean_ms,fps,model_size_mib,weights_sha256
rtmdet-tiny,rtmdet_tiny_8xb32-300e_coco.py,1,372,0.8763440860215054,1.0,0.89,0.9834254143646409,0.01744186046511628,0.676056338028169,0.9795918367346939,0.0033222591362126247,0.9900990099009901,0.704225352112676,0.15498154981549817,176.0048010743492,5.681663192685141,54.867642402648926,78e30dcce0c6f594eaff0d6977b84b4103688b4aff0ad1aa16008a8cc854a7fb
rtmdet-tiny,rtmdet_tiny_8xb32-300e_coco.py,2,372,0.9838709677419355,1.9166666666666667,0.975,0.9069767441860465,0.11627906976744186,0.9859154929577465,0.49295774647887325,0.23920265780730898,1.0,0.28370786516853935,0.940959409594096,176.0048010743492,5.681663192685141,54.867642402648926,78e30dcce0c6f594eaff0d6977b84b4103688b4aff0ad1aa16008a8cc854a7fb
rtmdet-s,rtmdet_s_8xb32-300e_coco.py,1,372,0.9059139784946236,1.0,0.915,0.9891891891891892,0.011627906976744186,0.7746478873239436,1.0,0.0,0.9801980198019802,0.75,0.12177121771217712,251.6811568116624,3.973281165217777,87.21360969543457,387a891e157cf0ab57d76b3ffc17bf77247089d672532427930b3140f9e789d6
rtmdet-s,rtmdet_s_8xb32-300e_coco.py,2,372,0.9865591397849462,1.9274193548387097,0.98,0.8789237668161435,0.1569767441860465,0.9859154929577465,0.5343511450381679,0.2026578073089701,1.0,0.27823691460055094,0.966789667896679,251.6811568116624,3.973281165217777,87.21360969543457,387a891e157cf0ab57d76b3ffc17bf77247089d672532427930b3140f9e789d6
rtmdet-m,rtmdet_m_8xb32-300e_coco.py,1,372,0.9301075268817204,1.0,0.945,1.0,0.0,0.7887323943661971,1.0,0.0,1.0,0.7952755905511811,0.0959409594095941,481.05836353140825,2.0787498478543966,213.90877628326416,229f527ca88498e8894a778a62a878a322b4a3ea2cae09ea537d34b7e907792b
rtmdet-m,rtmdet_m_8xb32-300e_coco.py,2,372,0.9946236559139785,1.8978494623655915,0.995,0.8963963963963963,0.13372093023255813,0.9859154929577465,0.5645161290322581,0.17940199335548174,1.0,0.28055555555555556,0.955719557195572,481.05836353140825,2.0787498478543966,213.90877628326416,229f527ca88498e8894a778a62a878a322b4a3ea2cae09ea537d34b7e907792b
rtmdet-l,rtmdet_l_8xb32-300e_coco.py,1,372,0.9247311827956989,1.0,0.945,0.9947368421052631,0.005813953488372093,0.7746478873239436,1.0,0.0,0.9900990099009901,0.7874015748031497,0.0996309963099631,835.8881405927533,1.1963323217995054,432.7442979812622,5a0be7c4a8123d1e634ce09b08682af373f503de2040e1532d254791f9332cec
rtmdet-l,rtmdet_l_8xb32-300e_coco.py,2,372,0.9865591397849462,1.8790322580645162,0.99,0.9041095890410958,0.12209302325581395,0.971830985915493,0.552,0.18604651162790697,0.9900990099009901,0.28169014084507044,0.940959409594096,835.8881405927533,1.1963323217995054,432.7442979812622,5a0be7c4a8123d1e634ce09b08682af373f503de2040e1532d254791f9332cec
rtmdet-x,rtmdet_x_8xb32-300e_coco.py,1,372,0.9408602150537635,1.0,0.945,1.0,0.0,0.8591549295774648,0.9838709677419355,0.0033222591362126247,0.9900990099009901,0.8264462809917356,0.07749077490774908,1346.6511533168348,0.7425828118417865,377.25602531433105,cc79b9ae0970f7f597e2aa5f81663129f3aa24e5612549b4f1a383da7fff825d
rtmdet-x,rtmdet_x_8xb32-300e_coco.py,2,372,0.9919354838709677,1.8413978494623655,0.985,0.933649289099526,0.08139534883720931,1.0,0.6173913043478261,0.1461794019933555,1.0,0.28133704735376047,0.9520295202952029,1346.6511533168348,0.7425828118417865,377.25602531433105,cc79b9ae0970f7f597e2aa5f81663129f3aa24e5612549b4f1a383da7fff825d
